,followers,reports,comments,likes,emo_label,emotion,influence,heat,professionalism,emo,hobby_weight,topic_drives,topic_continuous_attention
133,5054000,18,62,238,black,0.652955592,0.031987336,0.009174841,0.069254186,0.533263447,1,0.574425624,1.602517633
134,347000,8,1,31,black,0.736747086,0.002196196,0.001154068,0.040715373,0.651068114,0.203098107,0.654418378,0.894881593
135,2334000,19,75,298,black,0.463120282,0.014772146,0.011309867,0.029680365,0.26636899,0.012621916,0.292451003,0.308671272
136,40000,0,0,6,black,0.890321016,0.000253158,0.00017311,0.068493151,0.866981743,1,0.867408011,1.935474893
137,1489,0,0,0,black,0.855295628,9.42E-06,0,0.115677321,0.817738628,1,0.817748046,1.933415949
138,1331,0,0,0,black,0.886702836,8.42E-06,0,0.045281583,0.861894847,1,0.861903265,1.90717643
139,225000,0,0,0,black,0.656278402,0.001424044,0,0.133181126,0.537935073,0.203098107,0.539359117,0.874214306
140,70000,0,0,4,black,0.710561216,0.000443032,0.000115407,0.199010654,0.61425271,0.203098107,0.614811148,1.016361471
141,289000,2,2,11,black,0.84476772,0.001829108,0.000432776,0.078386606,0.802937164,0.004589788,0.805199047,0.885913558
142,1409,0,2,0,black,0.830751598,8.91E-06,5.77E-05,0.069254186,0.78323153,1,0.783298145,1.852485716
143,1290,0,0,0,black,0.798452616,8.16E-06,0,0.026255708,0.737821541,1,0.737829699,1.764077249
144,413000,7,6,22,black,0.67414394,0.002613918,0.00100981,0.139269406,0.563052704,0.004016064,0.566676431,0.706338174
145,40550000,2,0,4,black,0.739748793,0.256645565,0.00017311,0.489726027,0.655288292,1,0.912106967,2.14501432
146,353,0,0,0,black,0.955765903,2.23E-06,0,0.058599696,0.95899243,1,0.958994658,2.017592126
147,1475000,1,0,4,black,0.814369619,0.009335437,0.000144259,0.057458143,0.760199675,1,0.76967937,1.817657818
148,4326000,0,0,4,black,0.693345189,0.027379741,0.000115407,0.096270928,0.590048245,1,0.617543392,1.686319173
149,1088000,2,0,4,black,0.788902521,0.00688607,0.00017311,0.005327245,0.724394812,0.203098107,0.731453992,0.932820164
